"Letter","Name","Place","Animal","Thing"
"A","Aarav, Aanya, Aditi, Akash, Ananya, Arjun, Anika, Aditya, Arnav, Asha","Agra, Ahmedabad, Assam, Australia, Austria, Aligarh, Albania, Andaman, Andhra Pradesh, Ajmer","Ant, Ape, Alligator, Armadillo, Anaconda, Aardvark, Auk, Avocet, Angelfish, Adder","Apple, Anchor, Alarm, Arrow, Apron, Axe, Ashtray, Album, Abacus, Abaya"
"B","Bharat, Beena, Bhavana, Babita, Balaji, Bina, Bhumika, Brinda, Binod, Bhanu","Bhopal, Bengaluru, Bhutan, Berlin, Belgium, Brisbane, Bihar, Bangkok, Bermuda, Barcelona","Bear, Buffalo, Bat, Beaver, Butterfly, Boar, Bobcat, Bison, Beetle, Barracuda","Ball, Book, Bottle, Brush, Blanket, Bench, Bag, Bucket, Button, Basket"
"C","Chetan, Chitra, Charu, Chandni, Chetna, Chirag, Chandan, Chhaya, Chinmay, Chhavi","Chennai, Canada, Coimbatore, Colombo, Calcutta, Cairo, Cyprus, Cuba, Chandigarh, Chennai Port","Cat, Cow, Cheetah, Camel, Crow, Crab, Chicken, Chameleon, Cougar, Cuckoo","Chair, Cup, Candle, Comb, Car, Camera, Clock, Cushion, Chain, Chalk"
"D","Deepak, Divya, Devika, Dinesh, Darshan, Diana, Dipti, Dhruv, Disha, Damini","Delhi, Dubai, Daman, Denmark, Detroit, Dhaka, Dublin, Doha, Durban, Dehradun","Dog, Deer, Dolphin, Duck, Donkey, Dragonfly, Dove, Dingo, Drongo, Dormouse","Desk, Drum, Diamond, Door, Doll, Dictionary, Dish, Drawer, Detergent, Dryer"
"E","Esha, Ekta, Eklavya, Elena, Emmanuel, Eshaan, Eshita, Ebrahim, Eva, Eshan","Egypt, England, Estonia, Ethiopia, Ecuador, Edinburgh, Eritrea, Europe, El Salvador, Eindhoven","Elephant, Eagle, Eel, Emu, Elk, Earthworm, Egret, Echidna, Eider, Earwig","Eraser, Envelope, Engine, Earphone, Elevator, Eye mask, Easel, Energy bar, Extension cord, Ebook"
"F","Farhan, Farida, Falguni, Fatima, Faizan, Fiona, Faraz, Fiza, Freddy, Flora","France, Fiji, Florence, Faisalabad, Finland, Frankfurt, Florida, Firozabad, Flanders, Freiburg","Fox, Frog, Flamingo, Fish, Falcon, Ferret, Fawn, Finch, Fallow deer, Firefly","Fan, Fork, Folder, Feather, Frame, Flashlight, Flask, Filter, File, Fuse"
"G","Gaurav, Gita, Geetika, Govind, Ganesh, Gracy, Gopal, Geeta, Gulshan, Gunjan","Goa, Gujarat, Gurgaon, Germany, Greece, Glasgow, Geneva, Guwahati, Gwalior, Gdansk","Goat, Gorilla, Giraffe, Goose, Goldfish, Grasshopper, Gecko, Gazelle, Gibbon, Grouse","Glass, Guitar, Gift, Gloves, Globe, Grinder, Gadget, Gate, Glue, Grater"
"H","Harsh, Hema, Harini, Harpreet, Hitesh, Hannah, Hina, Hemant, Harsha, Hiral","Hyderabad, Himachal, Hong Kong, Hanoi, Hungary, Helsinki, Haryana, Haridwar, Hapur, Houston","Horse, Hippo, Hawk, Hen, Hamster, Hound, Heron, Hyena, Hare, Herring","Hat, Hammer, House, Helmet, Handbag, Heater, Hose, Hook, Hanger, Hinge"
"I","Ishan, Ishita, Ira, Indira, Ibrahim, Ikra, Iqbal, Inaaya, Ishaan, Isha","India, Italy, Iceland, Indonesia, Islamabad, Istanbul, Iran, Iraq, Indore, Ivrea","Iguana, Impala, Insect, Ibex, Ibis, Irish setter, Indri, Isopod, Inkfish, Inchworm","Ink, Iron, Ice cream, Id card, Incense, Instrument, Ice box, Inverter, Item tag, Inkpad"
"J","Jay, Jyoti, Janvi, Jatin, Juhi, Jason, Jaya, Jhanvi, Jitesh, Jasmin","Jaipur, Jodhpur, Japan, Jordan, Jakarta, Jamaica, Jammu, Johannesburg, Jerusalem, Jaisalmer","Jaguar, Jackal, Jellyfish, Jaybird, Jerboa, Junco, Jacana, Jackrabbit, Japanese macaque, Jird","Jug, Jacket, Jar, Jewel, Journal, Jeep, Jute bag, Jumper, Joint, Joystick"
"K","Karan, Kavya, Kirti, Kunal, Komal, Keshav, Khushi, Kiran, Kriti, Krishna","Kerala, Kolkata, Kashmir, Kenya, Kuwait, Kathmandu, Kutch, Kasauli, Kigali, Kyoto","Kangaroo, Koala, Kite, Kingfisher, Kudu, Krill, Kestrel, Koi, Kiwi bird, Komodo dragon","Knife, Key, Kite, Kettle, Keyboard, Kindle, Knob, Kerchief, Kit, Keyboard cover"
